epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.189,1.36036,3.16068,0.03111,0.55979,0.59935,0.55787,0.22882,1.90123,1.7769,0.07015,0.000474674,0.000474674,0.000474674
2,545.337,1.63233,2.0422,0.03813,0.59386,0.56606,0.56317,0.27253,1.77673,1.50464,0.05854,0.000937557,0.000937557,0.000937557
3,805.253,1.63109,1.9701,0.0382,0.51163,0.6182,0.56504,0.24375,1.84499,1.5647,0.06164,0.00138697,0.00138697,0.00138697
4,1064.94,1.62678,1.9029,0.03787,0.59836,0.55201,0.57874,0.22811,2.06345,1.70852,0.07571,0.00136837,0.00136837,0.00136837
5,1324.07,1.55365,1.81151,0.03632,0.72784,0.66557,0.71786,0.38956,1.65173,1.18403,0.05444,0.00134816,0.00134816,0.00134816
6,1583.06,1.52532,1.75092,0.03565,0.74554,0.60723,0.7079,0.37345,1.67515,1.32663,0.05497,0.00132795,0.00132795,0.00132795
7,1841.65,1.47783,1.65829,0.03419,0.7919,0.70726,0.80347,0.42984,1.59674,1.06385,0.0509,0.00130774,0.00130774,0.00130774
8,2101.16,1.46594,1.67784,0.03367,0.72063,0.71025,0.73915,0.43522,1.46331,1.10028,0.04661,0.00128753,0.00128753,0.00128753
9,2359.9,1.43449,1.63853,0.03261,0.62045,0.67316,0.68858,0.40354,1.48474,1.31961,0.04823,0.00126732,0.00126732,0.00126732
10,2661.67,1.40876,1.6001,0.03188,0.77381,0.74901,0.80505,0.47936,1.40168,0.99466,0.04428,0.00124711,0.00124711,0.00124711
11,3021.1,1.39872,1.525,0.03177,0.83997,0.74012,0.82484,0.51831,1.29588,0.90541,0.04125,0.0012269,0.0012269,0.0012269
12,3379.83,1.39142,1.49421,0.03168,0.73934,0.72756,0.77346,0.43478,1.54093,1.05068,0.04899,0.00120669,0.00120669,0.00120669
13,3744.99,1.35845,1.4742,0.03077,0.79408,0.75588,0.81364,0.52798,1.23599,1.01623,0.03855,0.00118648,0.00118648,0.00118648
14,4106.58,1.34321,1.4485,0.03022,0.82458,0.75433,0.83183,0.50395,1.36375,0.98446,0.04316,0.00116627,0.00116627,0.00116627
15,4469.8,1.33562,1.42887,0.02989,0.84175,0.74386,0.80582,0.52627,1.28116,0.87998,0.04049,0.00114606,0.00114606,0.00114606
